tconst,director,id,popularity
tt1213641,Damien Chazelle,369972,7.685
tt5117670,Will Gluck,381719,2.969
tt5117670,Will Gluck,381719,2.969
tt5610554,Jason Reitman,400579,6.117
tt5613484,Jonah Hill,437586,27.589
tt5613484,Jonah Hill,437586,27.589
tt1477834,James Wan,297802,11.143
tt6343314,Steven Caple Jr.,480530,1.847
tt1727824,Bryan Singer,424694,5.405
tt1727824,Bryan Singer,424694,5.405
tt4537896,Yann Demange,438808,1.643
tt5691670,David Robert Mitchell,396461,1.166
tt6412452,Ethan Coen,537996,6.986
tt6412452,Joel Coen,537996,15.581
tt5688996,Craig Johnson,511785,0.001
tt3606756,Brad Bird,260513,11.554
tt3606756,Brad Bird,260513,11.554
tt6266538,Adam McKay,429197,6.622
tt6266538,Adam McKay,429197,6.622
tt3846674,Susan Johnson,466282,1.063
tt4218572,Steve McQueen,401469,12.079
tt8954732,Mike Rohl,556803,1.176
tt8954732,Mike Rohl,556803,1.176
tt1825683,Ryan Coogler,284054,13.888
tt1825683,Ryan Coogler,284054,13.888
tt5220122,Genndy Tartakovsky,400155,4.474
tt1034415,Luca Guadagnino,361292,9.45
tt4154756,Anthony Russo,299536,25.07
tt4154756,Joe Russo,299536,10.891
tt1137450,Eli Roth,395990,12.772
tt1413492,Nicolai Fuglsig,429351,0.17
tt5304992,Claire Scanlon,384677,2.223
tt9495224,David Slade,569547,3.701
tt6195094,Pascal Laugier,476299,1.624
tt7401588,Sean Anders,491418,4.327
tt6306064,Baltasar Kormákur,429300,5.865
tt6217306,Gareth Evans,424121,5.658
tt6217306,Gareth Evans,424121,5.658
tt3778644,Ron Howard,348350,15.759
tt3778644,Ron Howard,348350,15.759
tt4701182,Travis Knight,424783,5.237
tt6212478,Bart Layton,489931,2.8
tt2531344,Kay Cannon,437557,4.822
tt2531344,Kay Cannon,437557,4.822
tt7349662,Spike Lee,487558,7.879
tt2990140,Clay Kaytis,527435,2.677
tt1226837,Felix van Groeningen,451915,2.279
tt4669788,Mimi Leder,339380,4.348
tt4971344,Jacques Audiard,440161,10.965
tt6499752,Leigh Whannell,500664,6.746
tt1571234,Christian Rivers,428078,1.56
tt1571234,Christian Rivers,428078,1.56
tt4595882,Marielle Heller,401847,3.675
tt4560436,Peter Berg,347375,9.765
tt4633694,Bob Persichetti,324857,1.508
tt4633694,Peter Ramsey,324857,2.482
tt4633694,Rodney Rothman,324857,2.174
tt1365519,Roar Uthaug,338970,1.288
tt1270797,Ruben Fleischer,335983,5.35
tt1259528,Christian Gudegast,449443,2.677
tt1517451,Bradley Cooper,332562,40.015
tt1517451,Bradley Cooper,332562,40.015
tt7125860,Barry Jenkins,465914,6.821
tt7125860,Barry Jenkins,465914,6.821
tt7959026,Clint Eastwood,504172,43.992
tt4003440,Lars von Trier,398173,7.797
tt2873282,Francis Lawrence,401981,11.218
tt7026672,Michael Sucsy,465136,1.024
tt7026672,Michael Sucsy,465136,1.024
tt1590193,Jaume Collet-Serra,399035,3.778
tt6998518,Panos Cosmatos,460885,2.234
tt7008872,Joel Edgerton,472451,20.506
tt4799066,Scott Speer,419478,1.791
tt7014006,Bo Burnham,489925,9.798
tt7280898,Paul Greengrass,474354,2.08
tt7280898,Paul Greengrass,474354,2.08
tt1289403,Mike Newell,451480,4.66
tt1846589,Donovan Marsh,399402,2.287
tt1846589,Donovan Marsh,399402,2.287
